id,title,url,group_id,thumbnail_url,icon,color_gradient,clicks,enabled,display_order,is_internal,created_at,updated_at,subtitle,is_featured,card_height,event_id,card_width,override_date,override_time,manual_order_override
"23f5823e-daaf-4436-8b87-9ba14a67be2d","D.EDGE apres. Nave","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1771456920193-4vmq3.png","Calendar","from-purple-500 to-pink-500",2,true,1771718340,false,"2026-02-17T06:00:10.374254+00:00","2026-02-19T14:18:04.066908+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"47c85ff5-5fe7-433b-bef5-75164ae8b08d",650,"","",false
"d3a75934-03b3-41f1-9e5f-e9b154481d58","🎭 Carnaval na Cidade","https://bit.ly/MDAccula_CNC26","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769001295740-tk0hf8.jpeg","Calendar","",20,true,1771074000,false,"2026-01-21T13:13:49.810832+00:00","2026-02-14T15:27:34.947587+00:00","🚨 LOTE ANTERIOR PELO LINK!!",false,80,"3a9e68cd-b2d1-4a01-bb23-639782abe0ad",650,"","",false
"6898865d-869f-4521-95b2-202c659540f7","🦒 Aurea - Lista VIP Unissex","https://bit.ly/MDAccula_0702_AureaVIP","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769428094667-s3bjic.jpeg","Calendar","",4,true,1770512400,false,"2026-01-26T11:48:11.432523+00:00","2026-02-08T05:45:55.635032+00:00","🎟️ Adquira sua CORTESIA pelo link",false,80,"bda5f824-267f-4903-9c60-19920c732f43",650,"","",false
"adbcbc75-c217-4559-ba9a-0727f3986988","🎉 Ame Laroc Festival","https://bit.ly/THP_ALF26","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769598159056-33di8c.jpeg","Calendar","",10,true,1771084800,false,"2026-01-28T11:02:18.740431+00:00","2026-02-14T23:41:04.205104+00:00","🎟️ Compre com DESCONTO pelo link: ",false,80,"7f85f92c-ba6d-47bf-8d41-f47b6d53aa88",650,"","",false
"5acf33b1-c5f4-45db-8ed1-21727386dc9b","D.EDGE apres. SuperAfter","https://bit.ly/MDAccula_DEdge_listas","e53696d1-d834-48da-a140-1feb43efd00d","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1765308861113-rd3ciq.jpg","Calendar","",0,true,1765688400,false,"2025-12-09T19:34:34.05729+00:00","2025-12-25T21:02:51.987617+00:00","📄 Listas VIP Fem/Consuma Masc pelo link",false,"","9125118d-246c-4ea2-9fce-f8847d6aa785",700,"","",false
"a8b09043-b1cc-459f-a903-6fce23484534","Caos Club","https://bit.ly/MDAccula_1312_Caos","e53696d1-d834-48da-a140-1feb43efd00d","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1764246445039-stkqpn.jpeg","Calendar","",0,true,1765663200,false,"2025-11-27T12:27:18.429028+00:00","2025-12-25T21:02:51.987617+00:00","🎟️ Compre 5% OFF pelo link: ",false,"","332ef8fc-f609-4fca-a5ed-617f16e6cf00",700,"","",false
"f75b365a-78cf-43e1-9e3e-5ecfc0bacdb3","BOMA Carnario - Mochakk, Dennis Cruz","https://bit.ly/MDAccula_1602_BOMARJ","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/link-thumbnails/60d18e55-44ee-4a97-b8b2-ddc05f973852.webp","Calendar","",4,true,1771279200,false,"2026-01-15T12:56:01.073687+00:00","2026-02-15T22:00:18.620961+00:00","🎟 Compre com DESCONTO pelo link:",false,80,"0bd78a8d-d694-45ba-9eff-88c510813895",650,"","",false
"2b20d66a-a308-4fa2-bfbc-3ce6ec82adbf","Surreal apres. Carnaval","https://bit.ly/MDAccula_Surreal25","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822803478-r1rnv.jpeg","Calendar","",5,true,1771196400,false,"2026-01-07T14:17:01.428334+00:00","2026-02-11T15:13:32.307716+00:00","🎟️ Compre 5% OFF pelo link: ",false,80,"dd377071-798a-42ee-ad42-0f403b696922",650,"","",false
"8014c910-506a-4a1f-b072-611d22889fa0","Parador Pascoa - Pacote 2 Dias","https://bit.ly/MDAccula_Pascoa26_Parador","0207c3d1-342a-4380-85a1-cf2daa14c4bc","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822711233-xw2bkb.png","Calendar","",30,true,1775232000,false,"2026-02-11T15:20:34.334267+00:00","2026-02-18T18:16:57.028774+00:00","🎟️ Compre 5% OFF pelo link:",false,80,"5147eeff-4994-4338-bfcc-2b12b856a55a",650,"","",false
"19767712-271a-408c-87ff-afc0b8b8c88d","D.EDGE apres. FreakChic","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769551019802-bvp0f.png","Calendar","from-purple-500 to-pink-500",4,true,6,false,"2026-01-27T06:00:06.245165+00:00","2026-02-10T14:48:34.0346+00:00","",false,60,"bfa435f1-0b03-4463-842a-de095f9b1758",650,"","",false
